内部ID,平均点火正时,平均节气门开合角度,平均进气温度,平均空气流量,平均电瓶电压,平均冷却液水温,入库时间
352016850081381,-3,.61,27,1,17.5,100,6/5/14
352016850081381,14,.61,33,1,18.2,99,6/7/14
352016850081381,20.5,.61,33,1,18.4,100,6/7/14
352016850081381,1,-.95,34,1,18.4,87,6/5/14
352016850081381,-3.5,-.39,47,1,18.3,84,6/5/14
352016850081381,-2,-.39,27,1,18.6,76,6/9/14
352016850081381,18,.61,27,1,18.6,85,6/9/14
352016850081381,17.5,.05,26,1,18.6,94,6/9/14
352016850081381,11.5,1.17,26,1,18.6,99,6/9/14
352016850081381,.5,1.17,27,1,18.6,98,6/9/14
352016850081381,-3,-.39,28,1,18.6,98,6/9/14
352016850081381,0,.93,52,1,18.4,84,6/9/14
352016850081381,-2,-.95,46,1,18.6,94,6/9/14
352016850081381,10,-.59,42,1,18.5,100,6/9/14
352016850081381,35.5,.49,39,1,18.6,99,6/9/14
352016850081381,8,.33,36,1,18.6,99,6/9/14
352016850081381,18,.61,35,1,18.5,100,6/9/14
352016850081381,14.5,1.05,35,1,18.6,102,6/9/14
352016850081381,10,.05,34,1,18.6,105,6/9/14
352016850081381,18,.05,43,8.51,17.9,84,6/19/14
352016850081381,22.5,.25,36,12.28,19,81,6/19/14
352016850081381,11,.05,33,4.7,19,78,6/21/14
352016850081381,14,-1.07,34,7.53,18.1,81,6/21/14
352016850081381,26.5,.49,36,6.08,18.4,82,6/21/14
352016850081381,15,-.95,49,3.9,18.9,81,6/19/14
352016850081381,12.5,1.05,34,9.84,18.2,82,6/19/14
352016850081381,4,-.39,35,5.25,17.9,82,6/19/14
352016850081381,1,.61,35,5.71,17.2,84,6/19/14
352016850081381,14.5,.61,35,6.97,17.5,85,6/19/14
352016850081381,1.5,.61,36,6.34,18.2,85,6/19/14
352016850081381,17.5,.05,35,6.48,18.1,82,6/19/14
352016850081381,10,.05,49,3.3,18.7,83,6/19/14
352016850081381,27,-.51,37,6.72,19.1,47,6/19/14
352016850081381,5,.05,43,2.81,18.9,89,6/26/14
352016850081381,32.5,1.05,28,5.64,19.1,35,6/26/14
352016850081381,29,-1.07,27,8.21,19.2,52,6/26/14
352016850081381,28,-.95,27,7.13,17.7,66,6/26/14
352016850081381,32,.05,27,5.07,17.4,73,6/26/14
352016850081381,21,-.51,30,6.1,17.9,81,6/26/14
352016850081381,16,-.95,31,4.93,17.5,82,6/26/14
352016850081381,16.5,-.07,37,10,17.1,93,6/26/14
352016850081381,20,-.75,34,12.24,17.1,87,6/26/14
352016850081381,17,.61,34,9.9,17.1,86,6/26/14
352016850081381,24,.93,33,10.93,17.7,83,6/26/14
352016850081381,24.5,-.07,31,9.67,17.6,83,6/26/14
352016850081381,22,-.51,31,7.86,17.2,82,6/26/14
352016850081381,14.5,.05,32,8.27,17.8,82,6/26/14
352016850081381,9,-.63,29,1,18.6,43,7/3/14
352016850081381,21.5,.05,32,1,18.4,86,7/3/14
352016850081381,20.5,-.51,31,1,17.6,96,7/3/14
352016850081381,15,-1.07,29,1,17.4,100,7/3/14
352016850081381,21.5,.05,30,1,17.4,100,7/3/14
352016850081381,7,-.19,30,1,17.4,99,7/3/14
352016850081381,7.5,.37,30,1,17.4,100,7/3/14
352016850081381,8.5,-.59,30,1,17.4,99,7/3/14
352016850081381,17.5,-.39,30,1,17.9,100,7/3/14
352016850081381,16,-.39,32,1,19.1,77,7/3/14
352016850081381,-3.5,-.39,54,1,18.5,72,7/4/14
352016850081381,-9,.61,50,1,18.6,79,7/4/14
352016850081381,-4.5,1.17,49,1,17.6,87,7/4/14
352016850081381,-2.5,1.17,40,1,18.6,105,7/4/14
352016850081381,3.5,-.39,29,1,18.6,99,7/9/14
352016850081381,8.5,.61,29,1,18.3,99,7/9/14
352016850081381,-3.5,-.39,40,1,18,95,7/8/14
352016850081381,-2,-.39,51,1,18.3,86,7/8/14
352016850081381,19,.61,42,1,18.2,92,7/8/14
352016850081381,14,-.51,38,1,18.2,89,7/8/14
352016850081381,-5,.61,38,1,18.2,95,7/8/14
352016850081381,4,.61,38,1,18,94,7/8/14
352016850081381,17.5,-.39,38,1,18.2,92,7/8/14
352016850081381,-2,-.39,38,1,18.2,95,7/8/14
352016850081381,4,-.39,39,1,18.2,92,7/8/14
352016850081381,1.5,-.95,45,1,17.4,91,7/8/14
352016850081381,25,-.95,44,1,17.5,92,7/8/14
352016850081381,12.5,.05,41,1,17.4,94,7/8/14
352016850081381,-2,.05,32,1,18.6,94,7/13/14
352016850081381,-2,-.39,29,1,18.6,77,7/13/14
352016850081381,19,.61,29,1,18.6,93,7/13/14
352016850081381,26.5,-.95,30,1,18.6,92,7/13/14
352016850081381,14.5,-.95,31,1,18.6,90,7/13/14
352016850081381,17.5,.05,31,1,18.4,91,7/13/14
352016850081381,6.5,-.59,32,1,18.5,93,7/13/14
352016850081381,-.5,.61,32,1,18.6,92,7/13/14
352016850081381,17.5,.05,32,1,18.4,91,7/13/14
352016850081381,8.5,-.39,29,1,17.5,58,7/13/14
352016850081381,15,-.51,30,1,18.3,48,7/13/14
352016850081381,-.5,-.39,29,1,17.5,64,7/13/14
352016850081381,11,1.05,29,1,18,70,7/13/14
352016850081381,7.5,.05,40,1,18.2,45,7/12/14
352016850081381,27.5,.05,38,1,17.4,94,7/17/14
352016850081381,26,.05,38,1,18.3,92,7/17/14
352016850081381,10.5,.61,47,1,17.9,95,7/17/14
352016850081381,8.5,1.17,47,1,17.9,101,7/17/14
352016850081381,20,-.95,46,1,17.6,106,7/17/14
352016850081381,2.5,-.39,51,1,17.6,91,7/17/14
352016850081381,2.5,-.95,59,1,18.2,81,7/17/14
352016850081381,14,.61,35,1,18.2,88,7/17/14
352016850081381,-3,-.39,50,1,17.4,95,7/17/14
352016850081381,.5,.61,40,1,18.3,92,7/24/14
352016850081381,10.5,-.95,38,1,18.5,90,7/24/14
352016850081381,4,.61,36,1,18.5,90,7/24/14
352016850081381,11.5,-.95,35,1,18.5,90,7/24/14
352016850081381,11.5,.61,42,1,17.9,94,7/24/14
352016850081381,32,1.05,41,1,18.5,62,7/24/14
352016850081381,18.5,-.95,35,1,18.6,91,7/24/14
352016850081381,9,-.35,35,1,18.5,92,7/24/14
352016850081381,9,-1.15,35,1,18.6,94,7/24/14
352016850081381,9,-.39,35,1,18.6,94,7/24/14
352016850081381,3,-.95,43,1,17.9,52,7/24/14
352016850081381,6.5,-.39,38,1,18.6,80,7/24/14
352016850081381,6.5,-.39,37,1,18.6,87,7/24/14
352016850081381,9.5,.61,36,1,18.5,93,7/24/14
352016850081381,22,-.59,29,1,18.6,91,7/29/14
352016850081381,-5,.61,29,1,18.4,32,7/29/14
352016850081381,18.5,.49,29,1,18.6,98,7/29/14
352016850081381,0,1.17,36,1,18.6,105,7/29/14
352016850081381,0,-.39,37,1,18.6,105,7/29/14
352016818128522,8.5,.16,60,1,17.2,96,7/23/14
352016818128522,8,.16,61,1,17.2,95,7/23/14
352016818128522,5,-.84,58,1,17.2,94,7/23/14
352016818128522,8,.48,58,1,17.3,94,7/23/14
352016818128522,5.5,.72,59,1,17.3,96,7/23/14
352016818128522,13,.6,60,1,17.2,96,7/23/14
352016818128522,31,.04,47,1,17.3,103,7/24/14
352016818128522,8.5,1.04,50,1,17.3,97,7/24/14
352016818128522,11.5,.16,50,1,17.3,95,7/24/14
352016818128522,22,-.84,47,1,17.2,104,7/24/14
352016818128522,19.5,.72,45,1,17.2,102,7/24/14
352016818128522,23,.04,45,1,17.3,104,7/24/14
352016818128522,23,.6,45,1,17.3,105,7/24/14
352016818128522,9.5,-.84,58,1,17.3,95,7/23/14
352016818128522,11.5,1.16,54,1,17.1,96,7/23/14
352016818128522,.5,.16,54,1,17.1,94,7/23/14
352016818128522,6.5,1.16,59,1,16.7,87,7/23/14
352016818128522,10,-.4,56,1,17.1,89,7/23/14
352016818128522,7,.16,55,1,17.1,92,7/23/14
352016818128522,16.5,.16,54,1,17.1,92,7/23/14
352016818128522,4.5,.16,54,1,17.1,95,7/23/14
352016850081381,10.5,-1.07,31,1,18.5,99,7/31/14
352016850081381,2,-.95,34,1,18.5,86,7/31/14
352016850081381,-1,.61,50,1,18.3,100,7/30/14
352016850081381,20,-.07,31,1,18.6,91,7/31/14
352016850081381,-4,.61,48,1,18.2,93,7/17/14
352016850081381,17.5,.61,37,1,17.5,94,7/17/14
352016850081381,24,.61,39,1,18.5,92,7/17/14
352016850081381,8.5,-.51,51,1,18.5,100,7/17/14
352016850081381,-2.5,-.39,38,1,18.6,94,7/17/14
352016850081381,11,-.39,38,1,18.6,105,7/29/14
352016850081381,17.5,-.95,35,1,18.6,105,7/29/14
352016850081381,6.5,.49,32,1,18.4,102,7/29/14
352016850081381,0,-.51,33,1,18.5,107,7/29/14
352016850081381,-1.5,-.39,34,1,18.6,103,7/29/14
352016850081381,9,.61,35,1,18.6,106,7/29/14
352016850081381,35,-.95,55,1,18.4,86,7/29/14
352016850081381,3,.61,50,1,17.7,95,7/29/14
352016850081381,15,-.51,45,1,17.4,100,7/29/14
352016850081381,.5,-.95,38,1,18.1,93,8/3/14
352016850081381,15.5,.61,38,1,18.3,94,8/3/14
352016850081381,14.5,.33,38,1,17.4,100,8/1/14
352016850081381,23.5,-.95,36,1,18.3,92,8/2/14
352016850081381,9,.05,36,1,18.3,89,8/2/14
352016850081381,38.5,1.05,36,1,18.3,90,8/2/14
352016850081381,3.5,1.17,35,1,18.6,105,7/15/14
352016850081381,6,.61,47,1,18.5,100,7/15/14
352016850081381,8.5,.49,32,1,18.8,39,7/19/14
352016850081381,20,-.95,32,1,18.6,53,7/19/14
352016850081381,5.5,.29,32,1,18.6,63,7/19/14
352016850081381,-2,-.39,32,1,18.5,72,7/19/14
352016850081381,0,-.95,30,1,18.6,98,7/19/14
352016850081381,-.5,.61,30,1,18.6,99,7/19/14
352016850081381,-4,.81,37,1,18.6,94,7/19/14
352016850081381,-4.5,-.39,35,1,18.6,95,7/19/14
352016850081381,3,.05,49,1,18,93,7/19/14
352016850081381,16,.61,40,1,18.3,91,7/26/14
352016850081381,-4,-.63,40,1,18.2,94,7/26/14
352016850081381,25.5,-.39,41,1,17.7,93,7/26/14
352016850081381,1,.05,42,1,17.7,95,7/26/14
352016850081381,8,.05,38,1,18.6,92,7/26/14
352016850081381,25,.61,55,1,18.2,91,8/2/14
352016850081381,23,1.05,32,1,18.6,91,8/1/14
352016850081381,16,.41,32,1,18.6,91,8/1/14
352016850081381,1.5,-.39,40,1,18.5,93,8/1/14
352016850081381,17.5,.61,40,1,17.4,65,8/2/14
352016850081381,-3,-.39,38,1,18.3,87,8/2/14
352016850081381,16,-.07,38,1,18.3,92,8/2/14
352016850081381,16.5,.61,38,1,18.3,93,8/2/14
352016850081381,19.5,.05,38,1,18.2,91,8/2/14
352016850081381,15.5,-.39,38,1,18.2,91,8/2/14
352016850081381,2.5,.61,38,1,18,95,8/2/14
352016850081381,-2.5,-.39,38,1,17.5,81,8/2/14
352016818128522,21.5,.16,47,1,17.7,100,7/31/14
352016818128522,16,1.16,44,1,17.2,74,7/31/14
352016818128522,24.5,-.84,48,1,17.6,96,7/31/14
352016818128522,15.5,.72,53,1,17.7,99,7/31/14
352016818128522,2,-.84,54,1,17.7,98,7/31/14
352016818128522,19.5,-.84,45,1,17.9,101,7/31/14
352016818128522,8,1.04,37,1,17.8,86,7/31/14
352016818128522,7.5,-1.08,61,1,16.7,92,7/30/14
352016818128522,17,-.84,53,1,17.5,98,7/31/14
352016818128522,3.5,.16,40,1,17.6,83,7/30/14
352016818128522,6,.16,34,1,17.6,63,7/30/14
352016818128522,1,.16,52,1,17.5,93,7/30/14
352016818128522,12.5,-.84,52,1,17.6,94,7/30/14
352016818128522,10,.16,52,1,17.6,96,7/30/14
352016818128522,17.5,-.84,54,1,17.1,94,7/23/14
352016818128522,23,.72,51,1,17.1,93,7/23/14
352016818128522,20,1.04,56,1,16.7,93,7/23/14
352016818128522,7.5,.16,53,1,17.2,93,7/24/14
352016818128522,8.5,-.84,53,1,17.3,96,7/24/14
352016818128522,6.5,-.84,54,1,17.3,98,7/24/14
352016818128522,21,.16,44,1,17.2,102,7/24/14
352016850081381,8.5,-.59,34,1,18.4,88,7/19/14
352016850081381,16,-.15,32,1,18.4,90,7/19/14
352016850081381,28,-.95,31,1,18.4,90,7/19/14
352016850081381,3,.05,31,1,18.4,88,7/19/14
352016850081381,7.5,.61,31,1,18.4,89,7/19/14
352016850081381,14,-.51,44,1,18.4,92,7/19/14
352016850081381,18.5,.61,36,1,18.6,89,7/26/14
352016850081381,-.5,-.39,37,1,18.6,95,7/26/14
352016850081381,13,-.63,46,1,18.6,91,7/26/14
352016850081381,17,.61,38,1,18.6,91,7/26/14
352016850081381,11.5,-.95,37,1,18.6,91,7/26/14
352016850081381,8.5,-.03,40,1,18.5,92,7/26/14
352016850081381,3.5,-.95,37,1,18.6,92,7/26/14
352016850081381,17,.49,39,1,18.3,92,7/26/14
352016850081381,10.5,.61,39,1,18.2,93,7/26/14
352016850081381,7.5,.61,42,1,18.4,95,7/26/14
352016850081381,21.5,-.95,44,1,18.3,93,7/26/14
352016850081381,11,.61,46,1,18.2,85,7/26/14
352016850081381,-2.5,-.39,46,1,18.3,83,7/26/14
352016850081381,9,-.39,47,1,18,82,7/26/14
352016850081381,-.5,-.51,38,1,18.3,95,7/26/14
352016850081381,12.5,.61,58,1,17.7,93,7/26/14
352016850081381,-4.5,-.39,40,1,18.4,95,8/1/14
352016850081381,-3.5,-.39,39,1,17.4,95,8/2/14
352016850081381,8.5,-.95,40,1,17.4,93,8/2/14
352016850081381,2,-.39,51,1,18.3,97,8/2/14
352016850081381,24.5,.49,38,1,18.1,100,8/1/14
352016850081381,-.5,1.17,48,1,17.8,100,8/2/14
352016850081381,-1.5,.41,48,1,17.5,101,8/2/14
352016850081381,5,1.17,47,1,17.4,102,8/2/14
352016850081381,20,.61,32,1,17.5,59,8/2/14
352016850081381,9,.61,38,1,17.4,61,8/1/14
352016850081381,11,-.39,38,1,17.4,70,8/1/14
352016850081381,15.5,-.39,33,1,18.5,93,8/2/14
352016850081381,1,-.39,40,1,18.2,44,8/1/14
352016850081381,6,.61,38,1,17.4,92,8/2/14
352016850081381,2,-.15,39,1,17.4,92,8/2/14
352016850081381,-1.5,-.95,36,1,18.3,83,8/1/14
352016850081381,5,.61,43,1,18.1,85,8/1/14
352016818128522,19,-.52,55,1,17.7,94,7/31/14
352016818128522,7,-.84,33,1,17.8,71,7/31/14
352016818128522,10.5,1.16,57,1,17.2,93,7/30/14
352016818128522,24,.48,47,1,17.5,97,7/31/14
352016818128522,19,1.16,50,1,17.8,100,7/31/14
352016818128522,8.5,.48,54,1,17.1,93,7/30/14
352016818128522,27,-.4,53,1,17.2,94,7/30/14
352016818128522,10.5,.16,57,1,17.2,93,7/30/14
352016818128522,12,-.84,52,1,17.6,99,7/31/14
352016818128522,16,.16,36,1,17.8,83,7/31/14
352016818128522,15.5,-.84,55,1,17.2,93,7/30/14
352016818128522,10,-.84,52,1,17.7,98,7/31/14
352016818128522,22,-.84,45,1,17.8,97,7/31/14
352016818128522,17,1.16,42,1,17.8,96,7/31/14
352016818128522,22.5,-.84,59,1,17,94,7/23/14
352016818128522,16,1.16,60,1,17.3,94,7/23/14
352016818128522,18,-.52,57,1,17.3,94,7/23/14
352016818128522,15,1.04,55,1,17.3,95,7/23/14
352016818128522,5,.16,57,1,17.2,96,7/23/14
352016818128522,5.5,.16,61,1,17.2,94,7/23/14
352016818128522,23.5,.72,53,1,17.2,97,7/23/14
352016889385480,9.5,.09,37,8.29,22.6,49,7/26/14
352016889385480,4.5,.09,43,8.2,22.5,84,7/26/14
352016889385480,7,.09,39,8.91,22.5,63,7/26/14
352016889385480,7,.09,42,8.43,22.5,74,7/26/14
352016889385480,12.5,-1.15,37,21.72,22.4,98,7/26/14
352016889385480,17,.09,35,24.83,22.4,98,7/26/14
352016889385480,13,.41,37,24.61,22.3,99,7/26/14
352016889385480,12,.17,38,20.77,22.5,98,7/26/14
352016889385480,9.5,.73,35,22.88,22.4,98,7/26/14
352016889385480,3,.09,45,9.02,22.1,97,8/6/14
352016889385480,8,.73,41,12.2,22.7,95,8/6/14
352016889385480,13,.53,32,10.82,22.6,49,8/6/14
352016889385480,6.5,.09,31,10.88,22.8,82,8/6/14
352016889385480,5,.09,33,7.27,22.7,93,8/6/14
352016889385480,10,.09,33,11.34,22.7,96,8/6/14
352016889385480,7.5,-.71,31,12.52,22.8,66,8/8/14
352016889385480,9,-.71,31,9.92,22.8,83,8/8/14
352016889385480,14.5,-.03,31,13.06,22.7,94,8/8/14
352016889385480,4.5,-.59,32,9.87,22.8,94,8/8/14
352016889385480,9.5,.09,34,8.75,22.6,97,8/8/14
352016889385480,12,.09,35,9.45,22.7,98,8/8/14
352016889385480,11.5,-.03,31,10.29,22.7,49,8/8/14
352016889385480,7,-.27,50,13.64,22.4,97,8/7/14
352016889385480,9.5,.09,48,15.72,22.4,97,8/7/14
352016889385480,13,.09,53,11.56,22.5,97,8/7/14
352016889385480,5.5,.09,52,11.89,22.5,97,8/7/14
352016818128522,9.5,.72,54,1,17.5,100,7/25/14
352016818128522,19.5,.72,50,1,17.4,100,7/25/14
352016818128522,11.5,.12,51,1,17.4,99,7/25/14
352016818128522,13,-.84,51,1,17.4,99,7/25/14
352016850081381,19.5,-.39,35,1,18.4,99,7/31/14
352016850081381,4,.61,45,1,18.3,78,7/31/14
352016850081381,9.5,.61,32,1,18.4,99,7/31/14
352016850081381,36.5,.05,35,1,18.4,99,7/31/14
352016850081381,0,-.39,52,1,18.3,100,7/30/14
352016850081381,3,-.39,39,1,18.4,86,7/31/14
352016850081381,8,-.51,32,1,18.4,98,7/31/14
352016850081381,25.5,.61,37,1,18.1,94,7/31/14
352016850081381,9.5,-.95,34,1,18.3,99,7/31/14
352016850081381,29.5,-1.07,31,1,18.6,92,7/30/14
352016850081381,8.5,-.07,34,1,17.4,74,7/31/14
352016850081381,0,.61,39,1,18.5,90,7/30/14
352016850081381,3.5,.61,34,1,17.8,100,7/31/14
352016850081381,9,.61,32,1,17.5,78,6/3/14
352016850081381,8,-.39,31,1,18.1,91,6/3/14
352016850081381,5.5,-.59,39,1,17.5,103,6/3/14
352016850081381,8.5,1.17,38,1,18.3,92,6/3/14
352016850081381,6.5,-.63,30,1,18.8,47,6/3/14
352016850081381,22,-.51,38,1,18.5,95,6/1/14
352016850081381,11.5,-.39,32,1,17.4,94,6/7/14
352016850081381,4.5,-.39,32,1,17.5,70,6/7/14
352016850081381,-1,.61,32,1,17.4,92,6/7/14
352016850081381,22,.49,32,1,17.4,86,6/7/14
352016850081381,-7,-.39,35,1,17.5,89,6/6/14
352016850081381,.5,.61,35,1,18.6,93,6/7/14
352016850081381,7.5,.61,36,1,18.6,93,6/7/14
352016850081381,18,-.63,36,1,18.6,90,6/7/14
352016850081381,8.5,.61,26,1,17.6,99,6/5/14
352016850081381,16,-.59,27,1,17.5,100,6/5/14
352016850081381,26,-.51,27,1,17.5,99,6/5/14
352016850081381,14,-.95,26,1,18.8,99,6/5/14
352016850081381,18,.05,26,1,18.8,99,6/5/14
352016850081381,16,.49,27,1,19,99,6/5/14
352016850081381,2.5,.61,27,1,17.9,97,6/5/14
352016850081381,23.5,.61,27,1,17.7,99,6/5/14
352016850081381,22,.05,27,1,17.6,100,6/5/14
352016850081381,3,.61,26,1,17.5,99,6/5/14
352016850081381,5.5,.61,27,1,17.5,99,6/5/14
352016850081381,10.5,.13,29,1,18.6,99,6/11/14
352016850081381,16,-.95,29,1,18.4,99,6/11/14
352016850081381,17,.61,29,1,18.5,100,6/11/14
352016850081381,23.5,-.63,30,11.26,19,83,6/12/14
352016850081381,17.5,.61,29,6.31,18.2,81,6/12/14
352016850081381,6,.61,29,3.77,18.6,81,6/12/14
352016850081381,23,-.07,31,12.2,18,81,6/16/14
352016850081381,10.5,-.39,33,7.1,17.9,83,6/16/14
352016850081381,10.5,-1.07,35,10.61,18.1,82,6/16/14
352016850081381,20,-1.07,36,11.36,17.2,84,6/16/14
352016850081381,18.5,-1.07,29,10.25,19.1,79,6/12/14
352016850081381,18.5,-1.07,29,10.25,19.1,79,6/12/14
352016850081381,12.5,.61,28,10.74,17.6,81,6/12/14
352016850081381,16,.93,27,8.24,17.6,81,6/12/14
352016850081381,16,.61,27,9.67,18.2,81,6/12/14
352016850081381,11.5,-.07,32,4.34,18.2,82,6/12/14
352016850081381,12.5,.61,32,5.74,17.5,82,6/16/14
352016850081381,29,-.51,34,4.86,18.8,55,6/18/14
352016850081381,22,.05,36,6.92,18.9,75,6/18/14
352016850081381,14,-.51,39,7.08,18.3,81,6/18/14
352016850081381,12,.05,36,3.47,19,71,6/24/14
352016850081381,24.5,1.05,33,5.24,17.2,82,6/24/14
352016850081381,24,.05,33,3.94,18.9,83,6/24/14
352016850081381,31,.05,25,6.99,18.9,33,6/23/14
352016850081381,26.5,.05,26,4.62,18.6,74,6/23/14
352016850081381,25.5,.05,25,7.53,19.2,54,6/23/14
352016850081381,21.5,-.95,26,5.44,18.4,68,6/23/14
352016850081381,17,.49,34,7.95,18.1,81,6/23/14
352016850081381,7.5,-.95,31,5.9,18.1,81,6/23/14
352016850081381,20,.61,32,6.21,17.6,81,6/23/14
352016850081381,21,.61,34,5.95,18.2,82,6/24/14
352016850081381,32.5,.05,35,5.98,19.1,47,6/23/14
352016850081381,23,.05,39,4.05,18.7,80,6/23/14
352016850081381,17,.61,31,4.17,18.2,75,6/23/14
352016850081381,9.5,-.95,32,5.83,17.7,83,6/23/14
352016850081381,23,-1.19,27,1,18.6,99,7/1/14
352016850081381,-4.5,-.39,27,1,18.6,100,7/1/14
352016850081381,-6.5,.61,29,1,18.7,35,6/29/14
352016850081381,14,.05,29,1,19,49,6/29/14
352016850081381,-7,1.17,28,1,19,98,7/1/14
352016850081381,10.5,-.07,29,1,18.8,100,7/1/14
352016850081381,22.5,-.07,28,1,19,99,7/1/14
352016850081381,-.5,-.51,28,1,19,98,7/1/14
352016850081381,18,-.95,28,1,19,99,7/1/14
352016850081381,-2.5,-1.07,29,1,19.1,101,7/1/14
352016850081381,25,-.63,32,1,19,98,7/1/14
352016850081381,-11.5,-.39,48,1,18.7,100,7/1/14
352016850081381,-3,-.39,51,1,17.8,107,7/1/14
352016850081381,0,-1.15,32,1,17.4,91,7/1/14
352016850081381,-2.5,1.17,52,1,17.6,104,7/1/14
352016850081381,2.5,.61,54,1,18.3,91,7/5/14
352016850081381,10.5,.61,50,1,18.3,93,7/5/14
352016850081381,3,-.39,45,1,18.5,99,7/4/14
352016850081381,4.5,.61,32,1,18.7,47,7/3/14
352016850081381,16,-.39,31,1,18.6,58,7/3/14
352016850081381,23,.61,29,1,18.6,75,7/3/14
352016850081381,22.5,-.63,29,1,18.6,85,7/3/14
352016850081381,7.5,.61,29,1,18.6,94,7/3/14
352016850081381,23,.05,29,1,18.5,97,7/3/14
352016850081381,26,-.63,29,1,18.6,98,7/3/14
352016850081381,11,-.95,33,1,18.5,91,7/5/14
352016850081381,-3.5,.05,33,1,18.6,92,7/5/14
352016850081381,-2,-.39,33,1,18.6,95,7/5/14
352016850081381,0,-.59,35,1,18.6,92,7/6/14
352016850081381,13.5,-.07,38,1,18.2,94,7/6/14
352016850081381,-4.5,.61,32,1,18.6,91,7/10/14
352016850081381,14,-1.07,37,1,18.6,90,7/10/14
352016850081381,12.5,-.07,27,1,18.6,67,7/10/14
352016850081381,3,-.63,39,1,18.6,91,7/10/14
352016850081381,6,.05,40,1,18.6,93,7/10/14
352016850081381,14,.05,35,1,18.6,90,7/10/14
352016850081381,7.5,-1.19,42,1,18.6,93,7/10/14
352016850081381,21,.61,29,1,17.5,94,7/10/14
352016850081381,33,.05,29,1,17.5,97,7/10/14
352016850081381,28,-.95,30,1,18.6,92,7/11/14
352016850081381,24.5,.05,30,1,18.6,97,7/11/14
352016850081381,37,-.95,29,1,18.6,98,7/11/14
352016850081381,20,.37,29,1,18.5,100,7/11/14
352016850081381,-1.5,-.95,29,1,18.6,99,7/11/14
352016850081381,-2,-.39,29,1,18.6,91,7/10/14
352016850081381,.5,.61,35,1,18.6,44,7/11/14
352016850081381,-3,-.39,29,1,17.5,73,7/17/14
352016850081381,8.5,.61,29,1,17.6,65,7/17/14
352016850081381,3.5,-.71,29,1,17.5,60,7/16/14
352016850081381,-5.5,-.39,29,1,17.5,68,7/16/14
352016850081381,-3,.61,29,1,17.9,75,7/16/14
352016850081381,-2,.61,33,1,18.6,61,7/15/14
352016850081381,5,-.39,32,1,18.6,101,7/15/14
352016850081381,23,.93,44,1,18.3,72,7/16/14
352016850081381,-7,.61,32,1,18.7,105,7/15/14
352016850081381,3.5,.61,33,1,18.5,107,7/15/14
352016850081381,11.5,-.07,56,1,18,93,7/15/14
352016850081381,9,-.95,34,1,18.5,102,7/15/14
352016850081381,8,.61,33,1,18.7,71,8/2/14
352016850081381,31,.05,33,1,18.6,82,8/2/14
352016850081381,28.5,.05,32,1,18.2,91,8/2/14
352016850081381,15.5,-.07,32,1,17.6,93,8/2/14
352016850081381,23,.61,38,1,17.5,95,8/2/14
352016850081381,0,-.39,39,1,18.6,94,8/1/14
352016850081381,-1.5,.61,42,1,18.2,107,8/2/14
352016850081381,6,.05,42,1,18.4,107,8/2/14
352016850081381,1,-.39,54,1,18.2,98,8/2/14
352016850081381,8.5,.61,56,1,18.4,98,8/2/14
352016850081381,10,1.05,56,1,18.3,100,8/2/14
352016850081381,-6,.05,38,1,18,107,8/1/14
352016818128522,17,-.84,46,1,17.8,105,7/31/14
352016818128522,19,.48,55,1,17.1,93,7/30/14
352016818128522,23,.6,55,1,17.2,93,7/30/14
